用語,AI キーワード,ヨミカタ,作成日時,最終更新日時,最終更新者,略語・別称,説明
能動登録,"mTG/myTOKYOGAS, 会員管理",ノウドウトウロク,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,,お客さまが自らmyTOKYOGASの新規会員登録画面から登録する方式。規約同意→本人確認→必要事項入力の流れで本会員として登録完了。
自動登録,"mTG/myTOKYOGAS, 会員管理",ジドウトウロク,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,,WEB引越し・契約受付や電話・書面での契約受付時に、システムが自動で会員登録を行う方式。メールまたはハガキで初期ID/PWが通知され、初回ログインまでは仮登録会員または未会員となる。
インボイス,"mTG/myTOKYOGAS, 料金関連書類",インボイス,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,適格請求書,適格請求書等保存方式（インボイス制度）。2023年10月施行。mTGでは「料金明細PDF（インボイス対応）」として二段階認証後にダウンロード提供。
iNET,"mTG/myTOKYOGAS, 社内用語",アイネット,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,アイネット,mTGバックエンド開発・運用を担うパートナー企業。TG（東京ガス）との役割分担でバックエンド・基盤領域を中心に担当。
トリセツ,"mTG/myTOKYOGAS, サービス",トリセツ,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,,お客さまの所有機器情報を管理する外部連携サービス（http://torisetsu.biz）。mTGマイページからガス機器情報の追加・削除が可能。定保で収集した機器データも表示。
回帰,"ガス管理, メーター管理",カイキ,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,,ガスメーターの桁がMAX値に達して一周した場合の検針処理。料金明細の今回指示数に「（回帰）」と表示。逆回帰は誤検針等で回帰前に戻った場合で、必ずマイナス値となる。
推定検針,"ガス管理, メーター管理",スイテイケンシン,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,推定,メーターの指示数を検針員が実際に読み取れず、お客さまによる読み取りもできなかった場合に、前月使用量と同量とみなして検針結果とする方法。料金明細に「（推定）」と表示。
OracleCloud,"ITインフラ, クラウドサービス",オラクルクラウド,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,OCI,mTGバックエンドのクラウド基盤。VerUP・パッチ適用はiNETが担当し、影響調査・稼働確認はTG側が担当。
パッチョポイント,"mTG/myTOKYOGAS, ポイントプログラム",パッチョポイント,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,,myTOKYOGAS会員向けポイントプログラム。エントリー（使用量確認・クイズ等）、アプリ（パッチョスロット）、ガス料金連動等で獲得し、提携ポイントへの交換や寄付が可能。
TG-Azure,"ITインフラ, クラウドサービス",ティージーアジュール,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,,東京ガスが管理するMicrosoft Azure環境。mTGフロントエンドのホスティング基盤として利用。フロント側はTG、バックエンド側はiNETが担当。
プレ会員,"mTG/myTOKYOGAS, 会員管理",プレカイイン,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,,WEB開閉栓経由で登録後、お客さま番号の紐付け待ちの会員種別。一部サービスのみ利用可。検針票電子化（2023年11月）により廃止。
ライト会員,"mTG/myTOKYOGAS, 会員管理",ライトカイイン,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,,東京ガスWebショップ経由で登録した会員種別。mTGの一部サービスのみ利用可能。Webショップ終了（2023年9月）に伴い廃止。
電話認証パト,"ポイントプログラム, ユーザー認証",デンワニンショウパト,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,電話認証パトロール,ポイント交換申請後に実施される電話認証の最終確認プロセス。申請→24時間猶予期間→電話認証パト→交換実施の流れ。寄付は猶予期間なし。
Ostearies,"システム, ユーザー認証",オステアリーズ,2026年3月29日 10:53,2026年3月29日 10:54,Yohei Sugisaki,,mTGの電話認証サービス。事前に登録された電話番号からの架電で本人確認を実施する外部連携システム。
特定電子メール法,"法令遵守, 法務関連",トクテイデンシメールホウ,2026年3月29日 10:54,2026年3月29日 10:54,Yohei Sugisaki,,迷惑メールを規制し良好なインターネット環境を保つための法律（2002年施行、2008年改正）。mTG会員へのプロモメール配信ではオプトイン方式の遵守が必要。
景品表示法,"法令遵守, 法務関連",ケイヒンヒョウジホウ,2026年3月29日 10:54,2026年3月29日 10:54,Yohei Sugisaki,景表法,消費者を誤認させる不当な広告や過大な景品の提供を禁止する法律。mTG会員向けキャンペーンやパッチョポイントの取扱い等で遵守が必要。
大口契約,"ガス契約管理, 契約用語",オオグチケイヤク,2026年3月29日 10:59,2026年3月29日 10:59,Yohei Sugisaki,,大規模なガス使用量を持つ契約。ガス事業法の観点で正しく明細を表示する必要があるが、mTG上で正確な明細表示ができないため、mTG対象外となる。
客番削除,"mTG/myTOKYOGAS, 会員管理",キャクバンサクジョ,2026年3月29日 10:59,2026年3月29日 10:59,Yohei Sugisaki,,myTOKYOGASのアカウント（お客さま番号）を1件削除する操作。ID統合と異なり、ポイント統合や名寄せは行わずアカウント自体を削除する。
ライフバル,"ガスサービス, 社内用語, 顧客訪問",ライフバル,2026年3月29日 10:59,2026年3月29日 10:59,Yohei Sugisaki,,東京ガスグループの地域サービス会社。ガス機器の販売・修理・保安点検・リフォームなど、対面の営業・サービス対応を担う。TG社員も一部営業やガス漏洩等の緊急対応を行うが、日常的な対面対応の主力はライフバルが担っている。
自主的な退会,"mTG/myTOKYOGAS, 会員管理",ジシュテキナタイカイ,2026年3月29日 10:59,2026年3月29日 10:59,Yohei Sugisaki,,お客さまが自らmyTOKYOGAS会員を退会すること。件数は非常に少ないが、ID重複によるメール配信を止めたい等の理由で発生する。
契約の再作成,"契約用語, 契約管理",ケイヤクノサイサクセイ,2026年3月29日 10:59,2026年3月29日 10:59,Yohei Sugisaki,,Krakenなどのシステムトラブルにより、既存の契約を一旦解約し即座に再契約する処理。非常にイレギュラーなケースで、主にシステム移行対象者で発生しうる。
一括契約,"ガス契約管理, 契約用語",イッカツケイヤク,2026年3月29日 10:59,2026年3月29日 10:59,Yohei Sugisaki,,親族など一人の支払者が複数契約分の料金をまとめて支払う契約形態。合算明細をmTG上で正しく表示できず、ガス事業法上の要件を満たせないためmTG会員対象外。一括請求（複数契約の請求をまとめるサービス）とは異なる概念。
ID統合,"ID管理, mTG/myTOKYOGAS, 会員管理",アイディートウゴウ,2026年3月29日 10:59,2026年3月29日 10:59,Yohei Sugisaki,,myTOKYOGASで複数のTG-IDを一つに統合する機能。お客さま自身で実施可能で、ポイントも統合される。引越しのたびにIDを新規作成してしまうケースで必要になることがある。
IES,"システム, 受付管理, 業務アプリケーション",アイイーエス,2026年3月29日 11:02,2026年3月29日 11:02,Yohei Sugisaki,,電気の申込書の内容を入力するシステム。IES→WISP→ACPT→（電力CIS or Kraken）の順で連携される。
保安閉栓,"ガス・電気, ガス操作, 安全点検",ホアンヘイセン,2026年3月29日 11:02,2026年3月29日 11:02,Yohei Sugisaki,,災害でガス管が影響を受ける場合に臨時で閉栓すること。閉栓した期間分、ガス代が割り引かれる。
請求統合,"契約用語, 料金計算, 請求サービス",セイキュウトウゴウ,2026年3月29日 11:02,2026年3月29日 11:02,Yohei Sugisaki,,臨時請求において、別の月分との請求を合算して請求するCIRIUSの機能。
シス変,"業務プロセス, 社内用語",シスヘン,2026年3月29日 11:02,2026年3月29日 11:02,Yohei Sugisaki,システム変更,Java等のプログラムや帳票レイアウトの改修が必要なシステム変更。デー変（DBデータのみの変更）と対になる概念。
ミニマスタ,"データベース, データ管理, 電力データ管理",ミニマスタ,2026年3月29日 11:02,2026年3月29日 11:02,Yohei Sugisaki,,電力CISが持つデータの一部をmyTOKYOGASにもコピーして保持しているデータベース。直接取得できない場合に参照される。
デー変,"業務プロセス, 社内用語",デーヘン,2026年3月29日 11:02,2026年3月29日 11:02,Yohei Sugisaki,データ変更,DBのテーブルデータのみの変更で対応が可能なシステム変更。シス変（Java等のプログラム改修が必要な変更）と対になる概念。
代替わり開栓,"ガス・電気, ガス操作, 契約管理",ダイガワリカイセン,2026年3月29日 11:02,2026年3月29日 11:02,Yohei Sugisaki,,ある住居の入居者が引越した後、別のお客さまが入居して新たに契約・開栓すること。
使用量協定,"ガス料金計算, メーター管理, 顧客対応",シヨウリョウキョウテイ,2026年3月29日 11:02,2026年3月29日 11:02,Yohei Sugisaki,,実際にはガスを使用しているがメーターが回っていなかった場合や、誤検針などの事由で、お客さまと使用量について調整を行うこと。
GPS,"エネルギーサービス, 小売戦略",ジーピーエス,2026年3月29日 11:21,2026年3月29日 11:21,Yohei Sugisaki,ガス・Power・ソリューション,ガス・Power（電力）・ソリューションの略。東京ガスの主要3商材領域を指す。重ね売りの対象商材カテゴリ。
C&BSCP,"社内用語, 組織改革",シーアンドビーエスシーピー,2026年3月29日 11:21,2026年3月29日 11:21,Yohei Sugisaki,カスタマー＆ビジネスソリューションカンパニー,Consumer & Business Solutions Company（カスタマー＆ビジネスソリューションカンパニー）。東京ガスのBtoC/BtoB事業を統括するカンパニー組織。
Auth0,"ユーザー認証, 新システム",オースゼロ,2026年3月29日 11:21,2026年3月29日 11:21,Yohei Sugisaki,,IDCSに代わる新認証基盤。Okta社のIDaaS製品。2027年度中旬稼働予定。
TGカスタマイズ,"新システム, 業務プロセス",ティージーカスタマイズ,2026年3月29日 11:21,2026年3月29日 11:21,Yohei Sugisaki,,Krakenの標準機能にない東京ガス固有のカスタマイズ開発。開発遅延・コスト増の主要因となっており、抑制プロセスが構築中。
ワークストリーム,"プロジェクト管理, 新システム",ワークストリーム,2026年3月29日 11:21,2026年3月29日 11:21,Yohei Sugisaki,WS,KMP（Kraken Migration PJ）内の機能別開発チーム単位。Billing WS、Payments WS、Industry WS等がある。
コフォート,"新システム, 業務プロセス",コフォート,2026年3月29日 11:21,2026年3月29日 11:21,Yohei Sugisaki,cohort,Krakenへのデータ移行を段階的に進める際のグループ単位。並行3〜4コフォートが適正とされる。
移管B,"契約管理, 新システム",イカンビー,2026年3月29日 11:21,2026年3月29日 11:21,Yohei Sugisaki,,電力ガス切り分け機能を使い、電気のみをKrakenに移行する移管方式。電気ガスセットの完全移行が困難な場合の代替手段。
名寄せ,"データ管理, 顧客管理",ナヨセ,2026年3月29日 11:21,2026年3月29日 11:21,Yohei Sugisaki,,複数システムに分散した同一顧客のデータを突合・統合する作業。TG-ID導入により不要化を目指している。現行TG-CRMの「下流巻き取り」方式で発生している複雑な運用。
エネルギー事業革新部,"社内用語, 組織改革",エネルギージギョウカクシンブ,2026年3月29日 11:21,2026年3月29日 11:21,Yohei Sugisaki,エネ事部,Kraken Migration PJ等の基幹刷新を推進する部門。ロングテール先回り検討チームの配置先。
ロングテール,"契約管理, 新システム",ロングテール,2026年3月29日 11:21,2026年3月29日 11:21,Yohei Sugisaki,,Kraken移管において、300万件移管後に残る約50万件の複雑な業務要件を持つ契約群（総合契約、一括請求、バーチャル口座等）。業務シンプル化（約款変更含む）をしなければ開発が超長期化する。
TG-LINK,"システム, 契約管理",ティージーリンク,2026年3月29日 11:21,2026年3月29日 11:21,Yohei Sugisaki,Igniture契約,エリア外展開等に使用されている既存の契約管理システム。EA構想では廃止対象だが、Krakenでの代替が遅れ暫定利用が継続している。
エナジーコンシェルジュ,,エナジーコンシェルジュ,2026年3月29日 11:23,2026年3月29日 11:23,Yohei Sugisaki,コンシェルジュ / EC,TGCS（東京ガスカスタマーサポート）の電話応対オペレーター。顧客の各種手続き・問い合わせに対応する。応答率目標85%に対し長期間50%前後で低迷しており、採用・育成が課題。
ROIC,,アールオーアイシー,2026年3月29日 11:24,2026年3月29日 11:24,Yohei Sugisaki,投下資本利益率 / Return on Invested Capital,Return on Invested Capital（投下資本利益率）。企業が調達した資本（株主資本＋有利子負債）に対してどれだけ効率的に利益を生んでいるかを示す財務指標。NOPAT÷投下資本で算出。ROICがWACC（加重平均資本コスト）を上回れば価値創造、下回れば価値毀損と判断される。
